GS,G,MP,FG,FGA,Two_Pt,Two_PtA,Three_Pt,Three_PtA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Field_Goal_Pct,Two_Pt_Pct,Three_Pt_Pct,effective_Fg_PCt,FT_PCt,TS_PCt,PER,Three_Pt_Att,FTr,Off_Rbd_Pct,Def_Rbd_Pct,Total_Rbd_Pct,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,OWS,DWS,WS,WS_Per_forty_eight,OBPM,DBPM,BPM,VORP,Rising_Star
-0.697077088,-1.139032786,-0.8124042,-0.775571705,-0.82166955,-0.900896515,-0.898078459,-0.213545089,-0.269971464,-0.796784892,-0.779223956,-0.350352065,-1.155651937,-0.952323633,-0.709936413,-0.484716013,-0.858036311,-1.054192608,-0.21286623,-0.756608545,-0.16766794,-0.301918051,0.472216772,0.284431474,-1.774274031,0.068798833,-0.549294738,0.891850719,-0.645416536,0.030813844,-1.514791698,-0.981354674,-0.846256971,-0.130144134,-0.899715399,-1.072790733,-1.278495763,0.38171699,0.7865792,-0.535543172,-0.789334865,-0.649786074,-0.052146913,-0.246941886,-0.400593125,-0.287283749,-0.483307951,0
-0.697077088,-0.33714087,-1.051053075,-0.820126435,-0.779120516,-0.693922877,-0.658349313,-0.621631256,-0.636674278,-0.796784892,-0.834809824,-0.718407791,-0.942134755,-0.912675368,-0.600140988,-1.152838084,-0.64615626,-0.937215397,-1.337676612,-0.837297635,-0.54866777,-0.590634235,-0.575896139,-0.640183273,-0.894846925,-0.824969892,-0.635773438,-0.336526873,-0.81994882,-0.258461262,-0.695031191,-0.573126018,-0.232698289,-0.898932387,-0.63358,-0.61836578,-0.254691375,-0.57139476,-0.491049319,-0.676568821,-0.708086394,-0.714624635,-0.41123452,-0.312828582,-0.435961568,-0.350699307,-0.554948149,0
-0.607776963,-0.497519254,-0.742798278,-0.775571705,-0.757846,-0.849153106,-0.951351602,-0.213545089,-0.112813116,-0.727410536,-0.723638087,-0.841093033,-0.781996868,-0.793730573,-0.655038701,-0.70742337,-0.64615626,-0.937215397,-0.21286623,-0.724332909,-0.396267838,0.492051457,-0.182853798,-0.071189583,-0.488957492,-0.154643348,-0.700632463,1.273071351,-0.540697166,-0.639086401,-0.601344276,-0.73641748,-0.72938865,-0.409703499,-0.5005123,-0.874708061,-1.212443867,-0.032679423,1.638331545,-0.535543172,-0.870583335,-0.682205354,-0.351386586,-0.391892618,-0.435961568,-0.414114865,-0.554948149,0
-0.652427026,-1.339505765,-1.210152325,-0.820126435,-0.864218584,-0.745666286,-0.818168743,-0.621631256,-0.584288161,-0.796784892,-0.890395692,-1.086463517,-1.048893346,-1.110916694,-0.655038701,-1.375545442,-0.858036311,-1.054192608,-0.775271421,-0.853435453,-0.16766794,0.419872411,-0.837924367,-0.284562217,1.608137915,-0.303604802,-0.646583275,0.129409455,-0.889761734,-0.974036523,-0.80042897,-1.030342113,-0.028178728,-1.318271434,-0.899715399,-1.049486889,-0.221665427,-0.322756912,0.999517286,-0.582551722,-0.870583335,-0.714624635,-0.471082455,-0.391892618,-0.754277553,-0.509238203,-0.411667753,0
-0.339876586,-0.216857083,0.470333501,-0.01814131,0.114409189,0.289201906,0.540296418,-0.621631256,-0.584288161,-0.311164395,-0.223365272,0.753815112,0.605864817,0.712903503,-0.43544785,-0.039301298,-0.010516105,0.349533929,1.249387268,-0.14337146,-0.16766794,0.05897718,-0.313867912,-0.355686428,-0.150716297,-0.154643348,0.120915186,-0.209453329,0.087619057,0.198288905,0.64000735,0.553585073,-0.466434929,0.7784238,1.051944195,0.372047579,0.537931376,-0.115558706,0.360703027,-0.582551722,-0.545589453,-0.649786074,0.067548955,-0.339183261,0.483617944,-0.097037073,-0.411667753,0
2.793069482,1.553987564,1.663577875,1.764047856,1.36960568,2.307194882,2.031944438,0.874684687,0.62059251,0.868199672,0.832766226,2.471408499,2.420760868,2.61602023,1.650665233,0.628820773,2.320164461,0.817442774,1.249387268,1.244480889,0.822931618,0.419872411,4.402640189,0.426679896,0.255173136,0.441202469,0.877603809,-0.124737633,-0.017100314,0.487564011,0.897646366,0.896497144,0.965201995,-0.269923817,0.697096996,-0.163940827,0.38931461,0.630354837,-1.129863578,2.661038196,2.785597835,2.819076933,0.606180366,0.504166456,0.660460158,0.61110333,2.382299955,1
1.356825797,1.427021344,0.927743845,0.650179628,0.561174042,0.961866231,1.073027854,-0.757659978,-0.793832626,0.451953531,0.554836884,0.753815112,-0.03468673,0.237124321,-0.270754712,-0.039301298,0.201363946,0.349533929,1.136906229,0.50214126,0.137131924,-0.157559958,0.210188544,-0.142313794,-0.218364536,-0.080162621,-0.160140589,-1.183683834,-0.052006771,0.000363833,-0.706742055,-0.442492848,-0.64173741,-0.549483181,-0.323088701,-0.443586952,-0.139100558,-0.074119064,0.360703027,-0.018449127,-0.058098631,-0.001400465,-0.171842782,-0.115168492,-0.400593125,-0.181591151,-0.841508939,0
0.880558461,1.400291613,0.878025329,0.070968149,-0.034512428,0.340945316,0.380476987,-0.077516367,-0.060427,-0.033666967,-0.001021799,1.121870838,1.833588616,1.743758397,-0.160959286,1.296942845,0.625124049,0.46651114,0.46202,-0.046544552,0.21333189,-0.085380912,-0.051839684,-0.142313794,0.05222842,-0.080162621,0.045246323,0.087051607,-0.052006771,0.228738916,1.190417976,0.978142875,-0.573564223,0.359084754,0.031758498,0.325439891,-0.419821115,-0.198437988,-0.491049319,-0.253491875,1.079379956,0.290373059,-0.052146913,-0.009749778,0.377512616,0.135486641,0.304734223,0
-0.161276336,-0.898465211,0.868081626,0.160077607,0.433526941,-0.22823219,0.060838126,1.010713409,0.882523091,0.24383046,0.110149938,-0.473037307,-0.51510039,-0.516192717,-0.106061574,-0.70742337,-0.434276208,0.46651114,0.46202,0.324625262,-0.472467804,-0.87935042,0.406709715,-0.213438005,0.593414331,-0.080162621,-0.495245551,0.425914391,-0.296351968,-0.654311407,-1.116622309,-1.079329552,-0.408000769,-0.898932387,-0.6779359,-0.210548515,-0.205152453,-0.281317271,-0.065173146,-0.535543172,-0.708086394,-0.617366794,-0.291538651,-0.062459135,-0.506698453,-0.171021891,-0.483307951,0
-0.697077088,-0.751451693,-0.325162748,0.026413419,-0.140885012,0.340945316,0.300567272,-0.8936887,-1.003377091,0.105081746,0.332493411,1.367241322,0.926140591,1.149034419,-0.051163861,0.851528131,0.625124049,0.349533929,1.136906229,-0.030406734,0.518131754,0.131156226,-0.182853798,0.142183051,-0.624253969,0.143279561,0.845174297,-1.395473074,0.890467563,2.360239696,2.712830347,3.166248472,0.254253046,1.057983165,1.761638593,1.012903281,0.455366506,0.298837707,-0.916925492,-0.065457677,-0.139347101,-0.033819746,0.426636562,0.056136919,0.766565486,0.124917381,-0.340027556,0
