Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
21.5,1.5,38,0.4,0.2,1,0.43,0.4,0.77,0.49,0.36,0.27,10.1,1.1,0.9,7.5,24.5,96,116,0
24,0,11.5,0.4,0.3,1.4,0.4,0.75,0.67,0.49,0.19,0.33,2.2,2.8,3.9,22.8,15.3,78,108,0
24,0,24,0.3,0.5,2.7,0.54,0,0.59,0.56,0.02,0.51,5.7,0.9,2.6,14.5,15.6,110,116,0
20,5,50,0.5,0.2,1.5,0.54,0.29,0.74,0.51,0.24,0.46,17.2,1.9,1.6,18.7,23.4,95,111,0
27.33333333,0.333333333,6.333333333,0.2,0.5,1,0.86,0.3,0.75,0.77,0,0.57,13.5,0.7,3.5,33.3,12.7,143,113,0
21.5,0,23.5,0.6,0,1,0.48,0.42,1,0.52,0.12,0.22,28.1,2.1,0.3,25.6,25.1,102,111,0
22.5,1,29.5,0.7,0.3,1.8,0.58,0.3,0.8,0.6,0,0.21,2.9,2.1,1.7,14.8,14.1,120,109,0
27,7,46.33333333,0.2,0.4,2.3,0.57,0.3,0.91,0.62,0.03,0.33,9.9,0.7,3.1,21,19.2,116,105,0
24,75,82,0.6,0.4,2.7,0.49,0.43,0.74,0.58,0.43,0.17,9.3,1,1,10.5,14,114,111,0
22,8,60.66666667,0.5,0.5,2.3,0.54,0.4,0.82,0.55,0.37,0.23,9.2,2,2.8,14,21.9,106,110,0
21,11.66666667,68.66666667,0.7,0.2,2,0.45,0.36,0.68,0.48,0.26,0.37,18.7,1.8,0.7,14.5,21.3,100,114,0
21,26,48.33333333,1.3,0.4,2.6,0.51,0.41,0.8,0.56,0.26,0.19,11.9,3,1,18.1,26.1,100,105,0
23.5,0,12.5,0.3,0.3,1.9,0.8,0.33,0.77,0.61,0.57,0.24,7,1.2,1.7,7.2,12,117,113,0
23.5,0,7.5,0.3,0,0.6,0.55,0.43,1,0.61,0.39,0.11,6.1,2.1,0,13.7,20.6,111,115,0
21.25,44.25,70.25,1.2,1.3,2.5,0.59,0.2,0.74,0.62,0.03,0.53,23.6,1.8,3.8,17.5,20.8,120,106,1
21,0,3,0,0,0.3,0,0,0.75,0,0.33,0,0,0,0,25,18.9,0,111,0
25,0,28,0.3,0.1,0.8,0.41,0.26,0.78,0.5,0.51,0.6,16.1,1.9,0.7,24,17.1,92,102,0
21,63.33333333,77.33333333,0.9,0.2,2.7,0.51,0.36,0.81,0.55,0.47,0.23,8.4,1.7,0.7,16.5,17.6,104,112,0
22,0,2,0,0,2,0.5,0.3,0.75,0.53,0,0,13.1,0,0,0,0,222,113,0
22.2,69.4,69.4,2.1,0.9,3.2,0.59,0.33,0.63,0.61,0.01,0.46,37.4,2.9,2.1,20.6,22.3,116,108,1
22.5,4,30,0.9,0.2,1.7,0.43,0.38,0.59,0.47,0.06,0.39,26.8,2.5,1.4,15,20.5,103,111,0
28,4.333333333,30.66666667,0.3,0.9,1.4,0.53,0.3,0.87,0.59,0.04,0.85,3.4,1.3,7.7,26.4,13.9,125,106,0
24,0,4,0.3,0.3,0.8,0.58,0,1,0.45,0.3,0.15,18,0.8,1.3,6.5,20.9,97,118,0
20,38.33333333,73.33333333,0.4,1.8,2.4,0.61,0.3,0.52,0.61,0,0.62,3.1,0.7,6.3,17.9,13.1,115,109,0
27,0,4,0,0,1,0.4,0.22,0.75,0.36,0.64,0,5.2,0,0,26.3,28.4,57,113,0
23.33333333,75.33333333,75.33333333,1.2,0.7,3.3,0.56,0.4,0.75,0.58,0.39,0.51,27.1,2,1.7,13.8,30.2,114,110,0
28,1.666666667,42.66666667,0.3,0.4,1.3,0.6,0.3,0.81,0.66,0,0.66,11.2,1.5,3.5,15.9,29.4,130,104,0
28.5,0,35,0.3,0,0.9,0.45,0.4,1,0.51,0.58,0.06,27.5,1.5,0.1,15.9,25.4,105,116,0
21,7,66.33333333,0.7,0.4,1.8,0.54,0.36,0.77,0.55,0.28,0.19,13.2,1.5,1.5,10.5,26,110,110,0
26,30,67,1,0.3,2.2,0.54,0.39,0.84,0.56,0.6,0.19,19.3,1.7,0.9,13.2,22.3,108,113,0
26,40.33333333,79.33333333,0.4,0.1,1.8,0.53,0.38,0.89,0.59,0.46,0.29,8.7,0.9,0.4,12.5,22.4,108,115,0
23,2,8,0.6,0.1,0.4,0.44,0.24,0.89,0.45,0.54,0.23,4,2.4,0.9,6.5,19.6,100,103,0
29.5,0.5,49.5,0.8,0.2,1.9,0.52,0.41,0.93,0.6,0.37,0.37,22.5,2.1,0.9,15.9,17.1,118,110,0
21.8,68.4,71.2,1.5,0.7,2.8,0.55,0.41,0.81,0.58,0.37,0.28,24.1,1.9,1.6,11.7,28.4,113,114,1
23,2,37,0.3,0.5,0.9,0.51,0.3,0.68,0.54,0,0.27,5.1,1.5,3.4,9.7,17.2,110,108,0
22,0,6,0,0.2,0.3,0.4,0.3,1,0.46,0,0.2,0,0,2.7,0,8.5,113,110,0
23,3,50,0.5,0.8,1.6,0.65,0.4,0.79,0.67,0.13,0.23,10.1,1.1,3.3,9.3,19,129,109,0
22.5,3,39,0.7,0.3,2.2,0.46,0.24,0.65,0.48,0.25,0.41,12.4,2.1,1.3,18.8,18.9,94,110,0
23.5,0.5,25,0.4,0.1,1.3,0.49,0.33,0.93,0.51,0.46,0.48,32.1,1.3,0.8,12.5,23.1,103,117,0
20.5,51.75,61.5,1,0.7,2.9,0.52,0.39,0.86,0.59,0.35,0.4,19.8,1.3,1.8,14.4,28.2,112,115,1
21,69.66666667,70.33333333,1.6,0.3,2.3,0.46,0.37,0.82,0.51,0.35,0.27,29.6,2.3,0.8,13,26.1,106,107,0
21,68,71,1,0.2,2.3,0.47,0.38,0.8,0.52,0.37,0.3,26.6,1.5,0.6,17.3,26.8,104,114,0
26,2,64,0.4,0.1,0.9,0.55,0.28,0.51,0.5,0.43,0.34,9,2.2,1,16.6,13.6,94,105,0
